ID,#features,depth of hierarchy,#edges in BIG,#edges in reduced BIG,parent candidates (min),parent candidates (max),parent candidates (average),% parents kept after reducing BIG
model_20091129_1734444143,12,3,47,23,3,5,3.9166666666666665,0.5833333333333334
model_20121017_2007593800,10,3,29,17,2,4,2.9,0.7
REAL-FM-2,23,4,135,93,5,8,5.869565217391305,0.7391304347826086
model_20120728_275737618,14,3,39,33,2,3,2.7857142857142856,0.7857142857142857
model_20130418_1158438101,19,4,108,78,5,6,5.684210526315789,0.6842105263157895
model_20120124_94644767,12,3,44,32,3,4,3.6666666666666665,0.6666666666666666
model_20110525_928187171,14,4,130,40,9,10,9.285714285714286,0.2857142857142857
model_20121219_1714348674,10,4,20,14,1,3,2.0,0.8
model_20131217_806985744,11,4,33,18,2,4,3.0,0.7272727272727273
model_20120202_114979109,22,4,174,86,7,10,7.909090909090909,0.5909090909090909
model_20120328_810464459,17,3,128,67,6,11,7.529411764705882,0.4117647058823529
model_20120328_1373483522,13,4,77,33,5,8,5.923076923076923,0.46153846153846156
model_20131122_913576973,23,4,238,122,9,12,10.347826086956522,0.30434782608695654
REAL-FM-19,30,6,361,181,10,19,12.033333333333333,0.43333333333333335
model_20130122_243381566,14,3,52,40,3,4,3.7142857142857144,0.7142857142857143
model_20110601_1103941862,12,5,63,15,4,7,5.25,0.5
model_20110622_260389190,12,4,55,35,4,5,4.583333333333333,0.5833333333333334
model_20131210_413521746,13,4,56,26,3,6,4.3076923076923075,0.46153846153846156
model_20100719_944437142,29,3,148,105,4,7,5.103448275862069,0.7586206896551724
model_20100625_251719781,16,4,26,15,0,3,1.625,0.9375
model_20130116_382639902,31,6,230,107,6,11,7.419354838709677,0.4838709677419355
connector_fm,20,6,91,33,2,7,4.55,0.75
model_20110519_1142211980,10,3,90,0,9,9,9.0,0.0
model_20091109_376438407,22,4,177,63,7,10,8.045454545454545,0.6363636363636364
model_20130125_189285641,18,5,213,18,11,15,11.833333333333334,0.2222222222222222
movies_app_fm,13,4,51,33,3,5,3.923076923076923,0.6153846153846154
model_20100216_713947806,12,3,99,27,8,9,8.25,0.25
model_20131129_2135897376,10,3,30,18,2,5,3.0,0.7
model_20130305_204544380,13,3,44,21,2,6,3.3846153846153846,0.6923076923076923
cfdp_library_fm,13,3,27,17,0,6,2.076923076923077,0.9230769230769231
model_20130422_1348727660,19,3,77,45,3,5,4.052631578947368,0.7894736842105263
model_20120528_1294065815,13,4,70,28,4,7,5.384615384615385,0.5384615384615384
model_20120113_1950870026,10,3,37,21,3,5,3.7,0.5
REAL-FM-8,17,4,176,66,10,11,10.352941176470589,0.35294117647058826
model_20120822_650185552,25,3,181,91,6,9,7.24,0.64
model_20101120_2091447559,20,4,310,64,15,18,15.5,0.1
model_20120722_2065280700,13,3,22,12,0,3,1.6923076923076923,0.8461538461538461
model_20111214_733452875,15,4,182,26,12,13,12.133333333333333,0.13333333333333333
model_20130115_768867592,11,3,42,22,3,5,3.8181818181818183,0.6363636363636364
