ID,Mutex - #clusters,Mutex - average cluster size,Mutex - % correct clusters,Mutex - % features in a correct cluster,Xor - #clusters,Xor - average cluster size,Xor - % correct clusters,Xor - % features in a correct cluster,Or - #clusters,Or - average cluster size,Or - % correct clusters,Or - % features in a correct cluster,All - #clusters,All - average cluster size,All - % correct clusters,All - % features in a correct cluster
model_20091210_993249741,0,0,N/A,0,2,3.0,1.0,0.20689655172413793,1,3.0,1.0,0.10344827586206896,3,3.0,1.0,0.3103448275862069
model_20131124_646639708,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20101110_1749898936,0,0,N/A,0,9,2.0,0.3333333333333333,0.3157894736842105,0,0,N/A,0,9,2.0,0.3333333333333333,0.3157894736842105
model_20091129_1734444143,0,0,N/A,0,0,0,N/A,0,2,2.0,1.0,0.3333333333333333,2,2.0,1.0,0.3333333333333333
model_20121017_2007593800,0,0,N/A,0,1,3.0,1.0,0.3,0,0,N/A,0,1,3.0,1.0,0.3
REAL-FM-2,1,2.0,0.0,0.0,4,2.75,1.0,0.4782608695652174,3,3.0,0.6666666666666666,0.21739130434782608,8,2.75,0.75,0.6956521739130435
model_20120728_275737618,0,0,N/A,0,0,0,N/A,0,2,5.5,1.0,0.7857142857142857,2,5.5,1.0,0.7857142857142857
model_20130418_1158438101,0,0,N/A,0,4,3.25,1.0,0.6842105263157895,1,5.0,0.0,0.0,5,3.6,0.8,0.6842105263157895
model_20120124_94644767,0,0,N/A,0,0,0,N/A,0,1,4.0,1.0,0.3333333333333333,1,4.0,1.0,0.3333333333333333
model_20110525_928187171,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20121219_1714348674,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20131217_806985744,0,0,N/A,0,2,3.0,1.0,0.5454545454545454,0,0,N/A,0,2,3.0,1.0,0.5454545454545454
model_20120202_114979109,1,2.0,1.0,0.09090909090909091,4,2.5,1.0,0.45454545454545453,1,3.0,0.0,0.0,6,2.5,0.8333333333333334,0.5454545454545454
model_20120328_810464459,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
model_20120328_1373483522,0,0,N/A,0,1,2.0,1.0,0.15384615384615385,0,0,N/A,0,1,2.0,1.0,0.15384615384615385
model_20131122_913576973,0,0,N/A,0,0,0,N/A,0,4,2.0,0.25,0.08695652173913043,4,2.0,0.25,0.08695652173913043
REAL-FM-19,0,0,N/A,0,3,2.0,1.0,0.2,0,0,N/A,0,3,2.0,1.0,0.2
model_20130122_243381566,0,0,N/A,0,0,0,N/A,0,4,2.25,0.75,0.5,4,2.25,0.75,0.5
model_20110601_1103941862,0,0,N/A,0,1,3.0,1.0,0.25,0,0,N/A,0,1,3.0,1.0,0.25
model_20110622_260389190,0,0,N/A,0,2,2.0,1.0,0.3333333333333333,1,3.0,1.0,0.25,3,2.3333333333333335,1.0,0.5833333333333334
model_20131210_413521746,1,2.0,1.0,0.15384615384615385,0,0,N/A,0,5,2.4,0.2,0.15384615384615385,6,2.3333333333333335,0.3333333333333333,0.3076923076923077
model_20100719_944437142,3,3.3333333333333335,0.3333333333333333,0.13793103448275862,2,4.0,1.0,0.27586206896551724,9,6.0,0.2222222222222222,0.3103448275862069,14,5.142857142857143,0.35714285714285715,0.7241379310344828
model_20100625_251719781,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0
