ID,Smith Waterman (Simmetrics) - #clusters,Smith Waterman (Simmetrics) - average cluster size,Smith Waterman (Simmetrics) - % correct clusters,Smith Waterman (Simmetrics) - % features in a correct cluster,Levenshtein (Simmetrics) - #clusters,Levenshtein (Simmetrics) - average cluster size,Levenshtein (Simmetrics) - % correct clusters,Levenshtein (Simmetrics) - % features in a correct cluster,Wu & Palmer (WordNet) - #clusters,Wu & Palmer (WordNet) - average cluster size,Wu & Palmer (WordNet) - % correct clusters,Wu & Palmer (WordNet) - % features in a correct cluster,Path Length (WordNet) - #clusters,Path Length (WordNet) - average cluster size,Path Length (WordNet) - % correct clusters,Path Length (WordNet) - % features in a correct cluster,Wikipedia Miner metric (db_wikipedia) - #clusters,Wikipedia Miner metric (db_wikipedia) - average cluster size,Wikipedia Miner metric (db_wikipedia) - % correct clusters,Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster,Wikipedia Miner metric (db_wiktionary) - #clusters,Wikipedia Miner metric (db_wiktionary) - average cluster size,Wikipedia Miner metric (db_wiktionary) - % correct clusters,Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster,Transitive reduction metric - #clusters,Transitive reduction metric - average cluster size,Transitive reduction metric - % correct clusters,Transitive reduction metric - % features in a correct cluster
model_20101111_156018899,2,2.0,0.0,0.0,3,2.0,0.3333333333333333,0.16666666666666666,3,2.0,0.6666666666666666,0.3333333333333333,0,0,N/A,0,1,3.0,1.0,0.25,2,2.0,1.0,0.3333333333333333,2,2.5,0.5,0.16666666666666666
model_20131201_820966647,5,3.4,0.2,0.1111111111111111,5,3.0,0.6,0.3333333333333333,5,2.4,0.8,0.5,4,3.0,0.25,0.1111111111111111,4,3.0,0.5,0.2777777777777778,5,2.4,0.8,0.4444444444444444,2,2.5,0.5,0.1111111111111111
model_20121102_768518520,2,6.0,0.5,0.21428571428571427,2,6.0,0.5,0.21428571428571427,1,9.0,0.0,0.0,2,5.5,0.5,0.21428571428571427,2,5.0,0.5,0.14285714285714285,1,2.0,1.0,0.14285714285714285,3,2.6666666666666665,1.0,0.5714285714285714
model_20101119_1472596180,6,2.6666666666666665,0.16666666666666666,0.08,6,2.6666666666666665,0.16666666666666666,0.08,6,2.0,0.5,0.24,1,2.0,1.0,0.08,2,5.5,0.0,0.0,4,2.0,0.5,0.16,3,2.6666666666666665,0.3333333333333333,0.12
REAL-FM-14,3,3.3333333333333335,0.3333333333333333,0.1111111111111111,3,2.6666666666666665,1.0,0.4444444444444444,1,3.0,0.0,0.0,1,3.0,1.0,0.16666666666666666,2,4.5,0.5,0.16666666666666666,2,3.0,1.0,0.3333333333333333,3,2.6666666666666665,0.3333333333333333,0.1111111111111111
model_20110406_1047532859,7,2.4285714285714284,0.42857142857142855,0.2413793103448276,6,2.1666666666666665,0.5,0.20689655172413793,1,2.0,1.0,0.06896551724137931,2,2.0,1.0,0.13793103448275862,4,3.25,0.25,0.06896551724137931,3,2.6666666666666665,1.0,0.27586206896551724,5,2.4,0.8,0.3448275862068966
model_20110124_2116036381,5,2.6,0.8,0.6111111111111112,5,2.4,0.8,0.5555555555555556,1,3.0,1.0,0.16666666666666666,3,2.3333333333333335,1.0,0.3888888888888889,4,3.0,0.75,0.5,5,2.4,1.0,0.6666666666666666,4,2.5,0.5,0.2222222222222222
model_20131129_1795005487,2,2.5,1.0,0.5,2,2.5,1.0,0.5,1,3.0,1.0,0.3,2,2.0,1.0,0.4,3,2.3333333333333335,0.6666666666666666,0.4,1,2.0,1.0,0.2,2,2.5,0.5,0.3
model_20110318_225131257,3,2.3333333333333335,0.6666666666666666,0.3333333333333333,5,2.2,0.8,0.6,2,4.0,0.5,0.26666666666666666,2,2.5,1.0,0.3333333333333333,3,3.0,0.6666666666666666,0.3333333333333333,0,0,N/A,0,2,2.5,0.0,0.0
model_20110328_1177934440,5,3.0,0.4,0.2222222222222222,2,5.0,0.0,0.0,4,2.75,0.5,0.2777777777777778,2,4.0,0.0,0.0,3,3.6666666666666665,0.3333333333333333,0.1111111111111111,3,2.3333333333333335,0.3333333333333333,0.1111111111111111,1,3.0,0.0,0.0
model_20110203_1382675896,2,2.5,0.5,0.21428571428571427,4,2.25,0.25,0.21428571428571427,0,0,N/A,0,0,0,N/A,0,2,2.0,1.0,0.2857142857142857,1,2.0,1.0,0.14285714285714285,1,3.0,1.0,0.21428571428571427
model_20091210_241985787,5,2.0,1.0,0.625,4,2.0,1.0,0.5,4,2.25,0.5,0.25,2,2.0,1.0,0.25,4,2.0,0.75,0.375,3,2.0,0.6666666666666666,0.25,4,2.25,0.75,0.375
model_20130426_1685243628,3,3.0,0.0,0.0,2,2.0,1.0,0.25,2,2.0,0.5,0.125,0,0,N/A,0,4,2.25,1.0,0.5625,2,2.0,1.0,0.25,4,2.5,1.0,0.625
model_20111025_1408959776,2,2.5,0.5,0.15384615384615385,1,2.0,1.0,0.15384615384615385,2,2.0,1.0,0.3076923076923077,2,2.0,1.0,0.3076923076923077,2,3.5,1.0,0.5384615384615384,3,2.0,0.6666666666666666,0.3076923076923077,1,3.0,0.0,0.0
model_20120531_2078087379,5,2.8,0.8,0.6470588235294118,5,3.0,0.4,0.29411764705882354,2,2.5,0.5,0.11764705882352941,1,2.0,1.0,0.11764705882352941,2,2.5,1.0,0.29411764705882354,1,3.0,0.0,0.0,2,2.5,0.0,0.0
model_20110605_1465859222,5,2.6,0.4,0.23529411764705882,4,2.5,0.5,0.23529411764705882,5,2.6,0.0,0.0,4,2.5,0.25,0.11764705882352941,4,2.75,0.5,0.29411764705882354,3,3.6666666666666665,0.3333333333333333,0.11764705882352941,1,3.0,0.0,0.0
model_20111220_1184087779,3,4.0,0.3333333333333333,0.2,4,2.25,1.0,0.6,1,3.0,0.0,0.0,2,2.5,1.0,0.3333333333333333,2,2.5,0.5,0.13333333333333333,3,2.3333333333333335,1.0,0.4666666666666667,2,3.0,0.5,0.2
REAL-FM-6,2,2.5,1.0,0.45454545454545453,2,3.0,0.5,0.2727272727272727,1,2.0,1.0,0.18181818181818182,2,2.0,1.0,0.36363636363636365,3,3.0,0.6666666666666666,0.45454545454545453,3,2.0,1.0,0.5454545454545454,4,2.25,0.5,0.45454545454545453
model_20100412_337845737,1,5.0,1.0,0.5,1,5.0,1.0,0.5,2,3.5,1.0,0.7,1,5.0,1.0,0.5,1,5.0,1.0,0.5,0,0,N/A,0,1,3.0,0.0,0.0
model_20130911_2001583567,10,2.4,0.5,0.35294117647058826,8,2.5,0.5,0.29411764705882354,7,3.2857142857142856,0.2857142857142857,0.20588235294117646,4,3.0,0.75,0.20588235294117646,5,2.6,0.4,0.11764705882352941,3,2.0,1.0,0.17647058823529413,2,3.0,0.5,0.08823529411764706
model_20131122_23346211,5,2.0,0.0,0.0,5,2.6,0.0,0.0,2,6.0,0.0,0.0,2,6.0,0.5,0.13333333333333333,5,2.0,0.0,0.0,3,2.6666666666666665,0.0,0.0,3,3.0,0.6666666666666666,0.4
model_20120110_1094246588,2,2.0,0.5,0.2,2,2.0,0.0,0.0,1,2.0,1.0,0.2,0,0,N/A,0,2,2.0,0.5,0.2,0,0,N/A,0,2,3.0,0.5,0.3
model_20120627_1512389149,4,2.0,1.0,0.7272727272727273,3,2.3333333333333335,1.0,0.6363636363636364,2,2.0,1.0,0.36363636363636365,1,2.0,1.0,0.18181818181818182,2,2.0,1.0,0.36363636363636365,3,2.0,1.0,0.5454545454545454,3,2.6666666666666665,0.6666666666666666,0.5454545454545454
model_20111027_668940289,6,3.8333333333333335,0.5,0.2413793103448276,5,4.0,0.4,0.13793103448275862,5,2.8,0.8,0.3448275862068966,7,2.857142857142857,0.7142857142857143,0.5172413793103449,6,3.3333333333333335,0.5,0.2413793103448276,5,3.2,0.6,0.3103448275862069,4,2.5,0.25,0.06896551724137931
model_20101104_260803083,1,4.0,0.0,0.0,3,2.3333333333333335,1.0,0.6363636363636364,2,2.0,0.5,0.18181818181818182,2,2.0,1.0,0.36363636363636365,2,2.0,0.5,0.18181818181818182,2,2.0,1.0,0.36363636363636365,2,3.0,0.5,0.2727272727272727
stack_fm,5,2.2,0.2,0.11764705882352941,3,2.3333333333333335,0.3333333333333333,0.11764705882352941,3,2.0,0.3333333333333333,0.11764705882352941,1,2.0,0.0,0.0,3,2.0,0.0,0.0,4,2.0,0.25,0.11764705882352941,2,2.5,0.5,0.11764705882352941
REAL-FM-7,3,3.0,0.0,0.0,3,2.6666666666666665,0.6666666666666666,0.35714285714285715,1,3.0,1.0,0.21428571428571427,1,2.0,1.0,0.14285714285714285,3,2.3333333333333335,0.3333333333333333,0.14285714285714285,2,2.0,0.5,0.14285714285714285,3,3.0,0.0,0.0
model_20121018_1186774722,4,3.25,0.5,0.375,5,2.6,0.6,0.5,3,2.6666666666666665,0.6666666666666666,0.25,4,3.0,0.5,0.375,3,3.3333333333333335,0.3333333333333333,0.1875,3,2.3333333333333335,0.3333333333333333,0.125,2,2.5,0.5,0.125
model_20091015_449909368,1,3.0,1.0,0.3,2,2.0,0.5,0.2,1,2.0,0.0,0.0,1,2.0,1.0,0.2,2,2.0,0.5,0.2,1,2.0,1.0,0.2,1,4.0,0.0,0.0
model_20121123_1014773113,4,3.25,0.5,0.375,5,2.6,0.6,0.5,3,2.3333333333333335,0.3333333333333333,0.125,3,3.3333333333333335,0.3333333333333333,0.1875,2,3.5,0.0,0.0,2,3.5,0.0,0.0,3,3.0,0.3333333333333333,0.1875
REAL-FM-5,5,2.4,0.6,0.4117647058823529,5,2.8,0.8,0.47058823529411764,0,0,N/A,0,0,0,N/A,0,2,3.0,0.5,0.17647058823529413,3,2.0,1.0,0.35294117647058826,3,2.6666666666666665,0.3333333333333333,0.11764705882352941
model_20100624_2076952989,4,2.25,0.75,0.35294117647058826,3,2.6666666666666665,0.6666666666666666,0.35294117647058826,0,0,N/A,0,0,0,N/A,0,2,2.0,0.5,0.11764705882352941,2,2.0,1.0,0.23529411764705882,4,2.5,0.5,0.23529411764705882
model_20110207_906076676,2,4.5,0.5,0.3333333333333333,3,2.6666666666666665,1.0,0.6666666666666666,2,2.5,1.0,0.4166666666666667,0,0,N/A,0,3,3.0,1.0,0.75,3,2.6666666666666665,1.0,0.6666666666666666,1,3.0,0.0,0.0
