Stats on input FMs
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - #clusters",16.8333333333333,15.5,4,41
"Smith Waterman (Simmetrics) - average cluster size",3.33823654236863,3.10545454545455,2.25,5.8
"Smith Waterman (Simmetrics) - % correct clusters",0.496197013140451,0.473333333333333,0.2,0.833333333333333
"Smith Waterman (Simmetrics) - % features in a correct cluster",0.349722777255855,0.323430164319249,0.0425531914893617,0.736842105263158
"Levenshtein (Simmetrics) - #clusters",17.6333333333333,14.5,6,46
"Levenshtein (Simmetrics) - average cluster size",2.79916725140446,2.80797101449275,2,4.1875
"Levenshtein (Simmetrics) - % correct clusters",0.626052653276438,0.654761904761905,0.272727272727273,0.857142857142857
"Levenshtein (Simmetrics) - % features in a correct cluster",0.413538411548066,0.412445278298937,0.1875,0.666666666666667
"Wu & Palmer (WordNet) - #clusters",5.8,5,1,14
"Wu & Palmer (WordNet) - average cluster size",2.64712241462241,2.5,2,3.85714285714286
"Wu & Palmer (WordNet) - % correct clusters",0.608071373071373,0.645833333333333,0,1
"Wu & Palmer (WordNet) - % features in a correct cluster",0.129053533769524,0.12390350877193,0,0.38
"Path Length (WordNet) - #clusters",8.73333333333333,7,1,21
"Path Length (WordNet) - average cluster size",2.56459545356604,2.4,2,4.4
"Path Length (WordNet) - % correct clusters",0.79153199741435,0.777472527472527,0.5,1
"Path Length (WordNet) - % features in a correct cluster",0.228206037577821,0.232051282051282,0.0833333333333333,0.444444444444444
"Wikipedia Miner metric (db_wikipedia) - #clusters",9.83333333333333,8,1,24
"Wikipedia Miner metric (db_wikipedia) - average cluster size",5.76040671143293,5.07692307692308,3.0625,13.8333333333333
"Wikipedia Miner metric (db_wikipedia) - % correct clusters",0.537371635894654,0.571428571428571,0,0.833333333333333
"Wikipedia Miner metric (db_wikipedia) - % features in a correct cluster",0.245291371800527,0.219219219219219,0,0.491228070175439
"Wikipedia Miner metric (db_wiktionary) - #clusters",12.2666666666667,9.5,2,35
"Wikipedia Miner metric (db_wiktionary) - average cluster size",2.98641821141821,2.80357142857143,2,6.22222222222222
"Wikipedia Miner metric (db_wiktionary) - % correct clusters",0.71001406001406,0.666666666666667,0.466666666666667,1
"Wikipedia Miner metric (db_wiktionary) - % features in a correct cluster",0.321678289177236,0.319040697674419,0.0833333333333333,0.615384615384615
"Transitive reduction metric - #clusters",4.2,4,1,13
"Transitive reduction metric - average cluster size",2.8041687016687,2.96153846153846,2.33333333333333,3
"Transitive reduction metric - % correct clusters",0.543057590557591,0.69047619047619,0,0.923076923076923
"Transitive reduction metric - % features in a correct cluster",0.0946190159747186,0.092062322349721,0,0.228070175438596

Clusters (random)
"","mean","median","min","max"
"run",499.5,499.5,0,999
"Random - #clusters",29.7427,25,6,78
"Random - average cluster size",2.30692172013224,2.30555555555556,2,3
"Random - % correct clusters",0.148724745040402,0.128205128205128,0,0.875
"Random - % features in a correct cluster",0.124904257246309,0.105263157894737,0,0.692307692307692

Clusters on reduced BIG
"","mean","median","min","max"
"Smith Waterman (Simmetrics) - #clusters",11.2,10,3,20
"Smith Waterman (Simmetrics) - average cluster size",3.05651019202103,2.74603174603175,2.25,5
"Smith Waterman (Simmetrics) - % correct clusters",0.682454779482643,0.714285714285714,0.3,1
"Smith Waterman (Simmetrics) - % features in a correct cluster",0.346039672571638,0.323430164319249,0.0425531914893617,0.736842105263158
